coactivation_gate_decision,gate_reason,coactivation_risk_score,risk_score,approved_pressure_l1,pressure_component_score,exploration_component_score,action_component_score,local_risk_component_score,noise_component_score,shadow_component_score,coactivation_pair_bonus,max_v8_conflict,max_v8_unresolved,max_ot_noise_score,candidate_risk_max,action_strength_max,action_strength_mean,shadow_delta_max,shadow_total_abs_delta,unresolved_noise_rows,weak_pressure_rows,exploration_projection_rows,action_candidate_rows,action_local_audit_rows,shadow_parameter_rows,residual_noise_rows,exploration_projection_active,shadow_active,hard_block_signal,gate_required_before_actionframe,gate_applies_to_action_frame,gate_dampening_factor,gate_prevents_actionframe_when_block_or_defer,allow_like_decision,dampen_like_decision,defer_like_decision,block_like_decision,monitor_only_decision,action_frame_created_by_gate,actionmodule_called_by_gate,parameter_box_updated_by_gate,world_write_performed_by_gate,gk_writeback_performed_by_gate,ot_writeback_performed_by_gate,canonical_parameter_write_by_gate,sidecar_direct_actionmodule_input_by_gate,gate_inputs_fingerprint,coactivation_gate_audit_status,coactivation_gate_contract,loop_step,run_seed,run_scenario
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.42295779254648147,0.42295779254648147,0.5743566110040053,0.5743566110040053,0.304398,0.006835660624009629,0.4492741524998863,0.4762406821487226,0.0,0.09,0.37153230894535577,0.5442919612887569,0.4762406821487226,0.0,0.009,0.007542642496038514,0.0,0.0,0,1,2,132,132,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9448ffee59cba144,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,0,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.4622102451284077,0.4622102451284077,0.6790333453761879,0.6790333453761879,0.30290075,0.0072917761305313685,0.44685420099282525,0.5966399551498216,0.0,0.09,0.3585388610176983,0.5547951720735359,0.4916399551498216,0.0,0.0096,0.008047104522125476,0.0,0.0,7,1,4,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9946ddc0bac5d59e,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,1,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.46933625422527725,0.46933625422527725,0.6977298025241562,0.6977298025241562,0.303093,0.00732,0.45674556850948256,0.603769314057617,0.0,0.09,0.3764464715869698,0.5548889091925536,0.49876931405761704,0.0,0.0096,0.00816,0.0,0.0,7,1,2,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,454efce3173578e3,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,2,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.47465567896566285,0.47465567896566285,0.7150370945234883,0.7150370945234883,0.2994845,0.00732,0.4446473295041423,0.6359752304976215,0.0,0.09,0.3459280642752219,0.5653042092283783,0.5159752304976215,0.0,0.0096,0.00816,0.0,0.0,8,1,2,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,02910542adeb8162,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,3,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.482622377038627,0.482622377038627,0.7258549566951874,0.7258549566951874,0.30892766666666666,0.00732,0.4609568047840442,0.6417892781586445,0.0,0.09,0.36980772570474724,0.5723612347698516,0.5217892781586445,0.0,0.0096,0.00816,0.0,0.0,8,1,3,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2bd5b7ca40b2581c,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,4,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.48760618612481377,0.48760618612481377,0.7333687184362578,0.7333687184362578,0.30568733333333337,0.00732,0.46909162421395856,0.6576626420908,0.0,0.09,0.3777005556298855,0.5807918191500477,0.5376626420908001,0.0,0.0096,0.00816,0.0,0.0,8,1,3,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,d271e9ea8cfc8e6e,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,5,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.5000336007706573,0.5000336007706573,0.7383783068926384,0.7383783068926384,0.301595,0.00732,0.4929483973930232,0.7091535269690876,0.0,0.09,0.4047954271506895,0.6006909165780977,0.5591535269690876,0.0,0.0096,0.00816,0.0,0.0,10,1,3,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,223cddb170133988,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,6,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.5057881635498082,0.5057881635498082,0.746693371140476,0.746693371140476,0.29587,0.00732,0.4919411934642315,0.7451727371861228,0.0,0.09,0.39723431759749284,0.6076940417458009,0.5801727371861228,0.0,0.0096,0.00816,0.0,0.0,11,1,2,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,54f7998145e53a07,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,7,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.5153557636029179,0.5153557636029179,0.7550939903920719,0.7550939903920719,0.29920450000000004,0.007329658676385486,0.5040055356175248,0.7792523346991429,0.0,0.09,0.4070960439227811,0.6224504699111004,0.5992523346991429,0.0,0.0096,0.008198634705541944,0.0,0.0,13,1,2,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,daf647fe67d8fc61,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,8,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.5113701489249985,0.5113701489249985,0.7622683857394403,0.7622683857394403,0.3075385,0.007338330252415598,0.5000297558583016,0.7356523345727017,0.0,0.09,0.4144366069288856,0.6046436045498099,0.5706523345727018,0.0,0.0096,0.00823332100966239,0.0,0.0,11,1,2,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,95c77ca79c2c4292,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,9,1705,shock
dampen,moderate_same_step_coactivation__dampen_action_frame_strength,0.5126849622021538,0.5126849622021538,0.768572553718226,0.768572553718226,0.301184,0.007345749962770029,0.5010818625510699,0.7408859848669715,0.0,0.09,0.42559767030134715,0.5933403197451753,0.5758859848669716,0.0,0.0096,0.008262999851080114,0.0,0.0,11,1,2,154,154,12,18,True,False,False,True,True,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,d32c0a0408cd5488,pass,Task12_same_step_coactivation_gate__pre_ActionFrame__allow_dampen_defer_block_monitor_only__no_writeback__RC1,10,1705,shock
